( ?movie = <http://example.org/m_4799> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_6911> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_9014> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_5475> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_7063> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_31522> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_7288> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_25798> ) ( ?trait = "hidden gem" )
( ?movie = <http://example.org/m_7774> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_7124> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_6021> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_32387> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_938> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_913> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_1060> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_7933> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_60983> ) ( ?trait = "hidden gem" )
( ?movie = <http://example.org/m_6139> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_2238> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_2238> ) ( ?trait = "hidden gem" )
( ?movie = <http://example.org/m_1546> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_1537> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_64245> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_3604> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_8690> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_64930> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_950> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_3556> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_5847> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_1458> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_6419> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_2731> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_25930> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_5177> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_1228> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_1223> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_8337> ) ( ?trait = "hidden gem" )
( ?movie = <http://example.org/m_8337> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_3816> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_3114> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_2947> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_51277> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_5404> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_1104> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_3419> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_37287> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_37287> ) ( ?trait = "hidden gem" )
( ?movie = <http://example.org/m_3560> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_26527> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_4710> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_5799> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_2575> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_4440> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_428> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_26521> ) ( ?trait = "classic" )
( ?movie = <http://example.org/m_26521> ) ( ?trait = "hidden gem" )
( ?movie = <http://example.org/m_60503> ) ( ?trait = "hidden gem" )
